どくとく[独特]  독특
うかうか  헛되이; 깨닫지 못하는 사이에; 얼떨결에; 멍청하니 있는 모양
うとうと  꾸벅꾸벅
うみだす[生(み)出す·産(み)出す]  낳다; 새로 만들어 내다; 산출하다
うみべ[海辺]  해변; 바닷가; 해안
えいせい[衛生]  위생
えて[得手]  가장 능한 재주; 장기; 특기
えほん[絵本]  그림책; →えぞうし; 연극 내용을 그림으로 나타내고, 그 옆에 배역과 배우 이름을 기입한 책
えんしゅう[演習]  연습
えんだか[円高]  엔고; 엔화 강세
えんやす[円安]  일본의 엔시세가 외국 통화에 비하여 쌈; 엔화 약세
おうらい[往来]  왕래; 내왕; 생각 등이 떠올랐다가 사라졌다 함; 도로; 길
おおがた[大型]  대형; 큰 형
おおごえ[大声]  대성; 큰소리
おおむかし[大昔]  아주 먼 옛날; 태고
おおめ[多め]  좀 많은 정도·느낌
おかん[悪寒]  오한
おきにいり[お気に入り]  마음에 듦; 또, 그 사람
おしとおす[押(し)通す]  억지로 통과시키다; 끝까지 해내다; 끝까지 버티다
おめにかける[お目に掛ける]  보여드리다
おもいきる[思い切る]  단념하다; 결심하고; 과감히; 마음껏
おもえる[思える]  생각되다; 그렇게 느끼다
おもな[重な·主な]  →おも
おんこう[温厚]  온후
おんてい[音程]  음정
がいけん[外見]  외견; 외관; 겉보기
かいじょう[海上]  해상
かいそく[快速]  쾌속; 매우 빠름; 열차 등이 특정역만 서고 달림; 또, 그 열차
かいぬし[飼(い)主]  사육주; 기르는 사람
かいひ[会費]  회비
かいめん[海面]  해면; 해상
かきまぜる[かき混ぜる]  뒤섞다; 뒤얽히게 하다
かくしん[核心]  핵심
かくじん[各人]  각인; 각자
かくりつ[確率]  확률
かけら[欠片]  조각; 단편
かしだす[貸(し)出す]  대출하다; 빌려 주기 시작하다
かだい[過大]  과대
かたほう[片方]  한쪽; 한편; 한 짝
かっこく[各国]  각국; 각 나라
かどう[稼働·稼動]  가동; 일함; 취로; 기계가 움직임; 기계를 움직임
かみがた[髪型·髪形]  →かみかたち
からつゆ[空梅雨]  장마철인데 비가 오지 않음
かわぎし[川岸·河岸]  하안; 강가; 강기슭
かわぐつ[皮靴·革靴]  가죽 구두
かんがえこむ[考え込む]  골똘히 생각하다; 생각에 잠기다
かんない[館内]  관내
がんぼう[願望]  원망; 소원
ききかえす[聞(き)返す]  되묻다; 반문하다; 다시 한번 듣다
きしゃ[貴社]  귀사
きすう[奇数]  기수; 홀수
きせい[帰省]  귀성
きっさ[喫茶]  끽다; 차를 마심; ‘喫茶店’의 준말
きゅうこん[求婚]  구혼; 청혼
きょういん[教員]  교원; 교사
きょうよう[共用]  공용; 공동 사용
きんとう[均等]  균등
ぐずぐず[愚図愚図]  흐물흐물; 헐렁헐렁; 꾸물꾸물; 우물쭈물
くちぶえ[口笛]  휘파람
くなん[苦難]  고난
くるしめる[苦しめる]  괴롭히다; 피곤하게 하다
げきか[激化·劇化]  격화
けつまつ[結末]  결말
けんじつ[堅実]  견실
こうき[後期]  후기
こうしん[更新]  경신; 갱신
こうせい[厚生]  후생
こおりまくら[氷まくら]  얼음 베개
こがた[小型]  소형; 형이 작음; 또, 그것
こぐ[漕ぐ]  젓다; 이리저리 헤치며 가다; 발을 폈다 구부렸다 하다
こごと[小言]  잔소리; 꾸중; 불평; 투덜댐
こたい[固体]  고체
こっき[国旗]  국기
さい[差異]  차이
さいしん[最新]  최신
さいだい[最大]  최대
さしひく[差(し)引く]  빼다; 제하다; 과부족을 계산하다; 바닷물이 써고 들고 하다
さどう[作動]  작동; 가동; 기계나 장치가 움직임
さどう[茶道]  →ちゃどう; →ちゃぼうず1
しか[鹿]  사슴
じきに[直に]  곧; 금방; 바로
じきゅう[時給]  시간급
じたい[自体]  자체; 자기 몸; 그 자신
しちょう[市長]  시장
じつむ[実務]  실무
しなぎれ[品切れ]  품절; 절품
しゃいん[社員]  사원; 회사원; 사단 의 구성원
しゅうでん[終電]  ‘終電車’의 준말
じゅうでん[充電]  충전
しゅっか[出荷]  출하; 상품을 시장에 냄
しょうか[消火]  소화
しょうすう[少数]  소수
しょうにんずう[少人数]  소인수; 적은 인원수
しょたいめん[初対面]  초대면
しょっぱい[塩っぱい]  짜다; 인색하다; 쩨쩨하다; 목쉰 소리를 하다
しらじらしい[白白しい]  속이 빤히 들여다보이다; 시치미를 떼다; 뻔한 것을 모르는 체하다; 흥이 깨어지다; 입맛 떨어지다
しんそつ[新卒]  새 졸업자
すいがら[吸い殻]  꽁초; 주성분을 짜내고 남은 찌꺼기
すみ[炭]  숯; 목탄
せったい[接待]  접대
ぜんき[前期]  전기
せんご[戦後]  전후; 특히, 제2차 세계 대전이 끝난 후
せんてい[選定]  선정
そうてい[想定]  상정
ぞくしゅつ[続出]  속출
そのご[その後]  그 뒤; 이후
そのもの[その物]  바로 그것; 그 자체
それどころか[其れ所か]  거기에 그치지 않고; 그뿐 아니라; 그렇기는커녕
たいかん[体感]  체감; 몸으로 느끼는 감각; 내장 기관에 느껴지는 감각
たいせん[対戦]  대전
たいもう[体毛]  체모; 몸에 난 털
たはた[田畑]  논밭; 전답; 농토
ダブる  중복되다; 겹쳐지다; 유급하다; 다음 장면과 겹쳐져서 비치다
-たらず[足らず]  …이 충분하지 못함; 그 수량에 아직 이르지 못함
だんじょ[男女]  남녀
たんにん[担任]  담임
ちぎる[千切る]  잘라 떼다; 손끝으로 잘게 찢어 떼다; 잘게 찢다; →ちぎれる
ちなみに[因みに]  덧붙여서; 이와 관련하여
ちょうかん[朝刊]  조간
ちょうじかん[長時間]  장시간
ちょっとした[一寸した]  평범한; 대수롭지 않은; 어지간한; 참한
ついでに[序(で)に]  김에; 기회에
つうたつ[通達]  통달; 통지; 통고; 깊이 통함
つかいすて[使い捨て]  한 번 쓰고 그대로 버리는 일
つくりだす[作り出す]  만들기 시작하다; 만들어 내다; 생산하다
つよみ[強み]  세기; 강도; 든든한 힘; 강점; →つよふくみ
つり[釣(り)]  낚시질; ‘釣り銭’의 준말; →おつり
てがき[手書き]  수서; 글씨를 손으로 씀; →てかき
てづくり[手作り]  손수 만듦; 또, 그 만든 것; 손으로 짠 피륙; →てびねり
てんか[添加]  첨가
てんじょう[天井]  천정; 천장; ‘天井値’의 준말
てんしょく[天職]  천직; 신성한 직무; 자기 천성에 맞는 직업
でんたく[電卓]  ‘電子式卓上計算機’의 준말
てんちょう[店長]  점장; 그 가게의 책임자
てんない[店内]  점내; 가게 안
てんぷ[添付·添附]  첨부
といかける[問い掛ける]  묻다; 질문을 걸다; 물어보려 하다
とうぶん[当分]  당분간; 잠시 동안
とくせい[特性]  특성; 특질
ながいき[長生き]  장수
ながねん[長年·永年]  긴 세월; 여러 해
なっとう[納豆]  푹 삶은 메주콩을 볏짚꾸러미·보자기 따위에 싸서 더운 방에서 띄운 것; 발효한 콩에다 간을 해서 말린 것
なんか[何か]  무언가; 무엇인가
にぎりしめる[握り締める]  꽉 쥐다
にくるい[肉類]  육류
にゅうか[入荷]  입하
ねむり[眠り]  잠; 수면; 누에가 탈피하기 전에 뽕을 잠시 안 먹는 일; 누에잠
のうぜい[納税]  납세
のうふ[納付]  납부
のちほど[後程]  조금 지난 뒤; 나중에
のみ[耳·而已]  오직 그것뿐; …만; 강조해서 말하는 데 씀
のりすごす[乗り過(ご)す]  →のりこす1
はかまいり[墓参り]  성묘
はじめ[初め]  처음; 최초; 앞; 이전
はつ[初]  처음; 최초; 첫…; 정월; 신춘
はなしこむ[話(し)込む]  이야기에 열중하다
はやおき[早起き]  일찍 일어남; 또, 그러한 사람
はるさき[春先]  초봄
はんすう[半数]  반수
はんそで[半そで]  반소매
はんめん[反面]  반대의 면; 다른 면에서는; 한편
はんろん[反論]  반론; 논박
ひじょうしき[非常識]  비상식; 상식을 벗어남; 상식이 없음
ひとねむり[一眠り]  한숨 잠; 한잠
ひとりぐらし[一人暮(ら)し·独り暮(ら)し]  독신 생활; 혼자 삶
ひとりびとり[一人一人]  한 사람 한 사람; 각자; 한 사람씩
ひび[日日]  나날; 매일; 그날그날
ぶあいそう[無愛想]  상냥치 못함; 괘다리적음; 섬서함
ぶいん[部員]  부원; 부를 구성하는 멤버
ぶかつ[部活]  야구부·미술부 따위 학생의 동아리 활동
ふくじゅう[服従]  복종
ふこうへい[不公平]  불공평
ぶしょ[部署]  부서
ふちゅうい[不注意]  부주의
ふとくい[不得意]  능숙하지 못함
ふなれ[不慣れ]  익숙하지 않음; 서투름
ふゆかい[不愉快]  불유쾌; 불쾌
ぶらさがる[ぶら下がる]  매달리다; 축 늘어지다; 곧 잡힐 듯 눈앞에 어른거리다; 의지하다
ふりえき[不利益]  불이익; 불리; 손해
へんぴん[返品]  반품
ぼうげん[暴言]  폭언
ぼうこう[暴行]  폭행; 강간; 난폭한 행위
ぼうさい[防災]  방재; 재해를 방지함
ほくべい[北米]  북미; 북아메리카
みにつける[身につける]  몸에 걸치다; 입거나 신거나 하다; 몸에 지니다; 배워 익혀서 제 것으로 지니다
ほんしょ[本書]  본서; 주된 문서; 이 책; 이 문서
ほんろん[本論]  본론; 주가 되는 의론·논의; 이 논
まいかい[毎回]  매회; 매번
まちなか[町中]  시내; 시중; 시가지
まっしろい[真っ白い]  새하얗다; 눈부시게 희다
まなつ[真夏]  한여름; 성하
まふゆ[真冬]  한겨울; 엄동
まんびき[万引(き)]  물건을 사는 체하고 훔침; 또, 그 사람
みかた[見方]  보는 방법; 보기; 견해; 생각; 견지; 관점
みそしる[みそ汁]  된장국
みもと[身もと·身元]  신원
むせきにん[無責任]  무책임; 책임 없음; 책임 관념이 없음
めいろ[迷路]  미로; 홀림길; 내이
めんえき[免疫]  면역
もくせい[木製]  목제; 나무로 만듦; 또, 만든 것
もくぞう[木造]  목조
もちぬし[持(ち)主]  소유자; 임자
やきもの[焼(き)物]  도자기·도깨그릇의 총칭; 흙으로 구워 만든 미술품; 구이 요리
やすまる[休まる]  편안해지다
やってくる[遣って来る]  다가오다; 찾아오다; 죽 해 오다; 지내 오다
やぶれる[敗れる]  지다; 패배하다
やまかじ[山火事]  산불
やまごや[山小屋]  산속의 오두막집; 산막
ゆいごん[遺言]  유언
ゆうりょう[優良]  우량; 우수
ゆきどまり[行(き)止まり]  그 이상 더 갈 수 없음; 또, 그 곳; 종말; 극점
よくあさ[翌朝]  이튿날 아침; 다음날 아침
よくとし[翌年]  →よくねん
よこく[予告]  예고
よこみち[横道]  샛길로 빠짐; 또, 그 좁은 길; 본 줄기에서 벗어남; 그 벗어난 이야기; 옆길; 간도
よせん[予選]  예선
よぞら[夜空]  밤하늘
よわき[弱気]  무기력함; 나약함; 시세의 약세; 또, 그렇게 보는 사람이 많음
よわみ[弱み]  취약점; 약점; 내림세; 약세
らくせん[落選]  낙선
りくち[陸地]  육지
ろしゅつ[露出]  노출; 밖으로 드러남; 셔터를 눌러 적당량의 빛을 쬠
ろせん[路線]  노선
わくわく  울렁울렁; 두근두근
わこうど[若人]  젊은이; 청년
わりかん[割(り)勘]  각추렴; 각자 부담
わりだか[割高]  값이 비쌈
わりやす[割安]  값이 쌈
いっせきにちょう[一石二鳥]  일석이조
きそくただしい[規則正しい]  규칙적이다
きゃっかんてき[客観的]  객관적
ぐたいてき[具体的]  구체적
げいのうじん[芸能人]  예능인
げんしりょく[原子力]  원자력
こうきしん[好奇心]  호기심
ごうりてき[合理的]  합리적
しだいに  →しだい  2
しちょうしゃ[視聴者]  시청자
しょうしか[少子化]  소자화; 자녀수가 감소하는 일; 또, 총인구에서 차지하는 어린이 인구 비율이 저하되는 일
しんけいしつ[神経質]  신경질
じんけんひ[人件費]  인건비
それにしても  그렇다 치더라도
だいいちいんしょう[第一印象]  첫인상
ちゅうしょうてき[抽象的]  추상적
なんらか  무엇인가 좀; 조금은; 얼마간
にどと  다시는; 두 번 다시
ふしょうじ[不祥事]  불상사
よびこう[予備校]  예비교; 상급 학교, 특히 대학의 입학시험을 지도하는 각종 학교; 明治 초기, 대학 각 학부에 진학하기 위한 예비 교육을 하던 학교
らっかんてき[楽観的]  낙관적
たとえ[仮令·縦令]  →たとい
けっこんしき[結婚式]  결혼식
こうれいか[高齢化]  고령화
りじかい[理事会]  이사회
ベつじん[別人]  딴사람
しかたがない[仕方がない]  어쩔 수 없다
しょうみきげん[賞味期限]  유통 기한
じゅんじゅんに[順々に]  차례차례
いちだんと[一段と]  한층, 더욱
つみかさね[積み重ね]  축적
ぜっこうちょう[絶好調]  절정, 최상의 컨디션
ていきゅうび[定休日]  정기휴일
あう[遭う]  (어떤 일을) 당하다, 겪다
ちゃくちゃくと[着々と]  척척, 순조롭게
きがえる[着替える]  갈아입다
しょうがくきん[奨学金]  장학금
うみぞい[海沿い]  해안, 바닷가
こうけいしゃ[後継者]  후계자
あくてんこう[悪天候]  악천후
けんきゅうじょ[研究所]  연구소
あまりにも  너무나도
くれぐれも  부디
なぜなら  왜냐하면
ずらり  즐비하게, 죽
